Parameters: 4472502
Epoch	Kappa (val)	IoU (val)	F1 (train)	F1 (val)	R (val)	P (val)
49		0.7876		0.6576		0.8562		0.7935		0.7573		0.8333
50		0.7703		0.6353		0.8579		0.7770		0.7792		0.7748
51		0.7840		0.6531		0.8540		0.7902		0.7786		0.8021
52		0.7811		0.6490		0.8568		0.7871		0.7558		0.8212
53		0.7793		0.6465		0.8552		0.7853		0.7429		0.8327
54		0.7768		0.6434		0.8555		0.7830		0.7548		0.8135
55		0.7863		0.6560		0.8617		0.7923		0.7752		0.8101
56		0.7845		0.6537		0.8629		0.7906		0.7741		0.8078
57		0.7810		0.6491		0.8653		0.7872		0.7693		0.8060
58		0.7855		0.6548		0.8602		0.7914		0.7555		0.8308
59		0.7889		0.6594		0.8663		0.7947		0.7595		0.8334
60		0.7917		0.6634		0.8639		0.7976		0.7894		0.8060
61		0.7797		0.6470		0.8699		0.7856		0.7370		0.8412
62		0.7836		0.6524		0.8704		0.7896		0.7632		0.8179
63		0.7914		0.6629		0.8657		0.7973		0.7851		0.8099
64		0.7850		0.6544		0.8701		0.7911		0.7807		0.8018
65		0.7887		0.6594		0.8723		0.7947		0.7830		0.8068
66		0.7938		0.6659		0.8768		0.7995		0.7651		0.8371
67		0.7769		0.6431		0.8739		0.7828		0.7246		0.8512
68		0.7947		0.6674		0.8756		0.8005		0.7923		0.8090
69		0.7886		0.6592		0.8790		0.7946		0.7805		0.8092
70		0.7866		0.6565		0.8739		0.7926		0.7760		0.8099
71		0.7898		0.6607		0.8769		0.7957		0.7738		0.8189
72		0.7825		0.6507		0.8779		0.7884		0.7491		0.8322
73		0.7906		0.6617		0.8811		0.7964		0.7734		0.8208
74		0.7929		0.6650		0.8826		0.7988		0.7855		0.8126
75		0.7849		0.6541		0.8808		0.7909		0.7711		0.8118
76		0.7938		0.6661		0.8815		0.7996		0.7837		0.8161
77		0.7880		0.6584		0.8817		0.7940		0.7847		0.8035
78		0.7884		0.6589		0.8834		0.7944		0.7829		0.8062
79		0.7969		0.6704		0.8866		0.8026		0.7876		0.8183
80		0.7960		0.6690		0.8857		0.8017		0.7836		0.8207
81		0.7807		0.6486		0.8863		0.7868		0.7606		0.8150
82		0.7913		0.6627		0.8889		0.7971		0.7685		0.8280
83		0.7914		0.6631		0.8898		0.7974		0.7915		0.8034
84		0.7921		0.6639		0.8916		0.7980		0.7935		0.8026
85		0.7919		0.6635		0.8891		0.7977		0.7744		0.8226
86		0.7965		0.6697		0.8890		0.8022		0.7772		0.8288
87		0.7889		0.6594		0.8897		0.7948		0.7721		0.8188
88		0.7854		0.6545		0.8916		0.7912		0.7438		0.8450
89		0.7886		0.6589		0.8934		0.7944		0.7608		0.8311
90		0.7940		0.6665		0.8934		0.7999		0.7858		0.8144
91		0.7927		0.6645		0.8940		0.7984		0.7738		0.8248
92		0.7968		0.6701		0.8948		0.8024		0.7793		0.8271
93		0.7897		0.6604		0.8943		0.7955		0.7616		0.8324
94		0.7912		0.6624		0.8957		0.7969		0.7623		0.8348
95		0.7902		0.6611		0.8962		0.7960		0.7554		0.8411
96		0.7929		0.6648		0.8968		0.7986		0.7725		0.8267
97		0.7913		0.6626		0.9002		0.7970		0.7634		0.8338
98		0.7911		0.6625		0.8982		0.7970		0.7726		0.8229
99		0.7864		0.6561		0.8961		0.7923		0.7651		0.8215
100		0.7932		0.6651		0.8991		0.7989		0.7702		0.8298
101		0.7906		0.6617		0.9012		0.7964		0.7678		0.8273
102		0.7889		0.6594		0.9002		0.7948		0.7643		0.8278
103		0.7909		0.6621		0.9003		0.7967		0.7604		0.8366
104		0.7936		0.6658		0.9006		0.7994		0.7754		0.8249
105		0.7927		0.6645		0.9026		0.7984		0.7672		0.8322
